Profile Name,Start Time,Duration,Attributes,Title,Supplemental Video Type,Device Type,Bookmark,Latest Bookmark,Country
Ambika,2021-06-12 14:35:51,00:20:06,,Notting Hill,,DefaultWidevineAndroidPhone,01:30:44,01:30:44,IN (India)
Ambika,2021-06-12 10:13:37,00:08:35,,Start-Up: Season 1: Elevator Speech (Episode 14),,Netflix Chrome MAC (Cadmium) HTML 5,00:21:39,00:21:39,IN (India)
Ambika,2021-06-12 09:05:29,00:36:49,,Start-Up: Season 1: Comfort Zone (Episode 13),,Netflix Chrome MAC (Cadmium) HTML 5,01:12:01,01:12:01,IN (India)
Ambika,2021-06-12 07:59:18,00:52:07,,Start-Up: Season 1: Acqhire (Episode 12),,Netflix Chrome MAC (Cadmium) HTML 5,01:20:45,01:20:45,IN (India)
Ambika,2021-06-12 07:23:44,00:34:35,,Start-Up: Season 1: Exit (Episode 11),,Netflix Chrome MAC (Cadmium) HTML 5,01:12:31,01:12:31,IN (India)
Ambika,2021-06-12 06:25:00,00:23:22,,Start-Up: Season 1: Exit (Episode 11),,Netflix Chrome MAC (Cadmium) HTML 5,00:27:55,Not latest view,IN (India)
Ambika,2021-06-12 05:17:38,01:01:38,,Start-Up: Season 1: Demo Day (Episode 10),,Netflix Chrome MAC (Cadmium) HTML 5,01:20:22,01:20:22,IN (India)
Ambika,2021-06-12 04:47:35,00:27:18,,Start-Up: Season 1: Risk (Episode 9),,Netflix Chrome MAC (Cadmium) HTML 5,01:19:00,01:19:00,IN (India)
Ambika,2021-06-11 18:41:56,00:27:43,,Start-Up: Season 1: Risk (Episode 9),,Netflix Chrome MAC (Cadmium) HTML 5,00:47:42,Not latest view,IN (India)
Ambika,2021-06-11 17:40:28,01:00:13,,Start-Up: Season 1: Backup (Episode 8),,Netflix Chrome MAC (Cadmium) HTML 5,01:15:38,01:15:38,IN (India)
